Remision;ACI;HUM;IMP;TMP;HUMIMP
1;1,59;0,16;0,035;34;0,195
2;1,54;0,16;0,035;36;0,195
3;1,59;0,16;0,035;40;0,195
4;1,48;0,18;0,035;36;0,215
5;1,54;0,16;0,035;42;0,195
6;1,48;0,16;0,035;36;0,195
7;1,48;0,14;0,035;40;0,175
8;1,54;0,18;0,035;35;0,215
9;1,54;0,16;0,03;36;0,19
10;1,59;0,16;0,035;42;0,195
11;1,48;0,16;0,03;38;0,19
12;1,54;0,14;0,03;42;0,17
13;1,48;0,16;0,04;44;0,2
14;1,43;0,2;0,04;42;0,24
15;1,54;0,2;0,005;43;0,205
16;1,54;0,16;0,035;45;0,195
17;1,54;0,18;0,035;43;0,215
18;1,59;0,2;0,04;48;0,24
19;1,54;0,18;0,04;44;0,22
20;1,54;0,16;0,035;45;0,195
21;1,28;0,28;0,04;44;0,32
22;1,33;0,18;0,04;47;0,22
23;1,33;0,14;0,03;40;0,17
24;1,28;0,2;0,04;38;0,24
25;1,33;0,2;0,04;45;0,24
26;1,23;0,18;0,035;45;0,215
27;1,02;0,18;0,04;46;0,22
28;0,92;0,18;0,04;45;0,22
29;1,28;0,22;0,035;35;0,255
30;1,23;0,14;0,035;44;0,175
31;1,23;0,16;0,035;47;0,195
32;1,28;0,16;0,035;42;0,195
33;1,33;0,16;0,035;36;0,195
34;1,28;0,18;0,035;42;0,215
35;1,33;0,18;0,035;40;0,215
36;1,28;0,18;0,03;42;0,21
37;1,28;0,18;0,035;46;0,215
38;1,23;0,18;0,04;38;0,22
39;1,33;0,18;0,035;40;0,215
40;1,28;0,22;0,04;42;0,26
41;1,33;0,18;0,035;40;0,215
42;1,28;0,16;0,035;44;0,195
43;1,28;0,18;0,035;42;0,215
44;1,38;0,2;0,035;40;0,235
45;1,38;0,16;0,035;42;0,195
46;1,28;0,18;0,03;32;0,21
47;1,38;0,2;0,03;42;0,23
48;1,38;0,2;0,03;32;0,23
49;1,43;0,18;0,03;34;0,21
50;1,48;0,22;0,04;35;0,26
51;1,59;0,18;0,03;35;0,21
52;1,54;0,22;0,03;32;0,25
53;1,64;0,24;0,04;30;0,28
54;1,64;0,24;0,04;30;0,28
55;1,54;0,2;0,035;34;0,235
56;1,54;0,18;0,035;38;0,215
57;1,54;0,18;0,035;38;0,215
58;1,54;0,18;0,04;33;0,22
59;1,64;0,2;0,04;42;0,24
61;1,64;0,18;0,04;34;0,22
62;1,54;0,2;0,035;35;0,235
63;1,48;0,18;0,035;30;0,215
65;1,48;0,02;4;26;4,02
67;1,64;0,22;0,04;32;0,26
68;2,2;0,42;0,04;24;0,46
69;2,2;0,2;0,04;39;0,24
70;2,3;0,2;0,04;47;0,24
71;2,2;0,2;0,035;44;0,235
72;2,05;0,02;0,035;47;0,055
73;1,94;0,18;0,03;42;0,21
74;1,94;0,16;0,03;44;0,19
75;1,89;0,18;0,03;44;0,21
76;2,05;0,16;0,03;41;0,19
77;2,05;0,16;0,03;44;0,19
78;2;0,2;0,035;45;0,235
79;1,79;0,2;0,04;40;0,24
80;1,79;0,2;0,04;38;0,24
81;2;0,24;0,04;40;0,28
82;2;0,18;0,04;45;0,22
83;2;0,2;0,04;43;0,24
84;1,94;0,2;0,04;46;0,24
85;2,05;0,18;0,04;45;0,22
86;2,06;0,2;0,04;48;0,24
87;2;0,18;0,04;45;0,22
88;2;0,2;0,04;45;0,24
89;1,94;0,18;0,04;46;0,22
90;2,05;0,2;0,04;48;0,24
91;2,1;0,2;0,04;45;0,24
92;2,05;0,2;0,035;44;0,235
93;2,5;0,2;0,04;45;0,24
94;2,05;0,18;0,035;44;0,215
95;2,3;0,41;0,04;47;0,45
96;2;0,2;0,035;46;0,235
97;2,3;0,3;0,04;47;0,34
98;2,05;0,3;4;38;4,3
99;1,94;0,24;0,035;42;0,275
100;1,94;0,24;0,035;42;0,275
101;1,89;0,18;0,035;46;0,215
102;1,89;0,18;0,035;46;0,215
103;1,94;0,2;0,035;46;0,235
104;1,94;0,2;0,035;46;0,235
105;2;0,18;0,04;36;0,22
106;2;0,2;0,04;37;0,24
107;2,05;0,2;0,035;39;0,235
108;2,2;0,28;0,04;38;0,32
109;2,38;0,2;0,04;38;0,24
110;2,37;0,2;0,04;32;0,24
111;2,35;0,2;0,04;38;0,24
112;2;0,22;0,035;43;0,255
113;2,35;0,19;0,04;38;0,23
114;2,35;0,19;0,04;38;0,23
115;1,89;0,2;0,035;43;0,235
116;2,27;0,2;0,04;44;0,24
117;1,84;0,2;0,035;44;0,235
118;2,22;0,19;0,04;36;0,23
119;1,84;0,2;0,035;44;0,235
120;2,71;0,16;0,04;26;0,2
121;2,71;0,16;0,04;26;0,2
122;1,79;0,18;0,035;42;0,215
123;2,71;0,2;0,04;28;0,24
124;1,89;0,2;0,035;42;0,235
125;1,84;0,16;0,035;46;0,195
126;1,89;0,2;0,035;44;0,235
127;1,84;0,2;0,035;46;0,235
128;1,89;0,18;0,035;46;0,215
129;1,89;0,16;0,035;48;0,195
130;1,89;0,16;0,035;48;0,195
131;1,89;0,16;0,035;47;0,195
132;1,89;0,16;0,035;47;0,195
133;1,94;0,2;0,035;44;0,235
134;1,94;0,2;0,035;41;0,235
135;2,29;0,2;0,035;31;0,235
136;2,1;0,18;0,03;39;0,21
137;205;0,2;0,03;46;0,23
138;2,05;0,2;0,035;46;0,235
139;2,1;0,2;0,035;48;0,235
140;2,15;0,2;0,035;45;0,235
141;2,15;0,22;0,035;48;0,255
142;2,15;0,22;0,035;48;0,255
143;2,41;0,28;0,04;32;0,32
144;2,35;0,28;0,04;32;0,32
145;2,35;0,28;0,04;32;0,32
146;2,35;0,18;0,04;32;0,22
147;2,41;0,2;0,04;33;0,24
148;2,35;0,22;0,04;33;0,26
149;2,41;0,2;0,04;33;0,24
150;2,41;0,2;0,04;33;0,24
151;2,41;0,2;0,04;33;0,24
152;2,43;0,18;0,04;33;0,22
153;2,41;0,2;0,04;33;0,24
154;2,42;0,18;0,04;33;0,22
155;2,41;0,2;0,04;32;0,24
156;2,41;0,18;0,04;32;0,22
157;2,41;0,18;0,04;32;0,22
158;2,35;0,18;0,04;32;0,22
159;2,46;0,18;0,04;37;0,22
160;2,41;0,18;0,04;37;0,22
161;2,35;0,18;0,04;37;0,22
162;2,41;0,2;0,04;38;0,24
163;2,41;0,2;0,04;38;0,24
164;2,41;0,24;0,04;38;0,28
165;2,56;0,2;0,04;23;0,24
166;2,56;0,2;0,04;23;0,24
167;2,56;0,2;0,04;32;0,24
168;2,56;0,22;0,04;33;0,26
169;2,56;0,22;0,04;33;0,26
170;2,56;0,2;0,04;37;0,24
171;2,61;0,2;0,04;22;0,24
172;2,61;0,2;0,04;22;0,24
173;2,61;0,26;0,04;22;0,3
174;2,61;0,2;0,035;22;0,235
175;2,56;0,26;0,035;22;0,295
176;2,56;0,2;0,035;22;0,235
177;2,56;0,2;0,04;22;0,24
178;2,56;0,2;0,04;22;0,24
179;2,61;0,22;0,04;22;0,26
180;2,61;0,2;0,04;22;0,24
181;2,56;0,24;0,04;40;0,28
182;2,56;0,24;0,04;38;0,28
184;2,46;0,2;0,035;38;0,235
185;2,46;0,24;0,035;42;0,275
186;2,46;0,22;0,035;45;0,255
187;2,56;0,28;0,04;40;0,32
188;2,46;0,2;0,035;40;0,235
189;2,46;0,24;0,035;42;0,275
190;2,5;0,2;0,035;42;0,235
191;2,35;0,24;35;40;35,24
192;2,56;0,22;0,04;44;0,26
193;2,61;0,24;0,035;41;0,275
194;2,66;0,2;0,04;44;0,24
195;2,66;0,2;0,035;44;0,235
196;2,82;0,22;0,035;44;0,255
197;2,71;0,16;0,035;45;0,195
198;2,66;0,2;0,035;46;0,235
199;2,66;0,22;0,035;46;0,255
200;2,66;0,2;0,035;48;0,235
201;2,5;0,2;0,035;42;0,235
202;2,56;0,22;0,035;42;0,255
203;2,56;0,22;0,035;42;0,255
204;2,56;0,18;0,035;46;0,215
205;2,56;0,18;0,035;46;0,215
206;2,56;0,18;0,035;46;0,215
207;2,46;0,18;0,035;46;0,215
208;2,46;0,18;0,035;46;0,215
209;2,41;0,16;0,035;48;0,195
210;2,41;0,2;0,04;45;0,24
211;2,51;0,2;0,035;48;0,235
212;2,51;0,2;0,035;48;0,235
213;2,35;0,22;0,035;52;0,255
214;2,15;0,2;0,035;50;0,235
215;2,15;0,22;0,035;48;0,255
216;2,2;0,2;0,035;52;0,235
217;2,3;0,2;0,035;47;0,235
218;2,3;0,2;0,04;47;0,24
219;2,41;0,2;0,035;41;0,235
220;2,97;0,18;0,04;41;0,22
221;2,3;0,18;0,04;43;0,22
222;2,2;0,18;0,04;48;0,22
223;2,15;0,18;0,035;42;0,215
224;2,2;0,2;0,04;46;0,24
225;2,05;0,22;0,04;50;0,26
226;2,05;0,2;0,04;52;0,24
227;2,15;0,22;0,04;54;0,26
228;2,25;0,22;0,04;54;0,26
229;2,2;0,22;0,04;54;0,26
230;2,2;0,2;0,04;48;0,24
231;2,1;0,16;0,04;48;0,2
232;2,05;0,16;0,04;49;0,2
233;2,1;0,18;0,04;52;0,22
234;2,05;0,16;0,04;52;0,2
235;2,1;0,2;0,04;52;0,24
236;2,1;0,18;0,04;54;0,22
237;2,05;0,16;0,04;54;0,2
238;2,1;0,2;0,04;50;0,24
239;2,15;0,16;0,04;50;0,2
240;2,15;0,18;0,04;52;0,22
241;2,1;0,18;0,04;50;0,22
242;2,15;0,18;0,04;52;0,22
243;2,1;0,18;0,04;46;0,22
244;2,2;0,18;0,04;46;0,22
245;2,1;0,18;0,04;47;0,22
246;2,2;0,22;0,04;48;0,26
247;2,15;0,16;0,04;50;0,2
248;2;0,16;0,04;46;0,2
249;2,05;0,16;0,04;50;0,2
250;2,05;0,16;0,04;50;0,2
251;2,15;0,22;0,04;54;0,26
252;2,15;0,2;0,04;47;0,24
253;2,05;0,2;0,035;49;0,235
254;2,05;0,18;0,035;49;0,215
255;2,05;0,2;0,04;47;0,24
256;2,2;0,18;0,04;49;0,22
257;2,15;0,18;0,035;48;0,215
258;2,09;0,18;0,035;49;0,215
259;2,05;0,2;0,035;49;0,235
260;2,15;0,2;0,035;50;0,235
261;2,2;0,18;0,035;49;0,215
262;2,15;0,24;0,35;48;0,59
263;2,2;0,18;0,04;46;0,22
264;2,2;0,18;0,04;50;0,22
265;2,25;0,18;0,04;46;0,22
266;2,3;0,2;0,04;52;0,24
267;2,2;0,2;0,04;52;0,24
268;2,2;0,18;0,04;55;0,22
269;2,25;0,18;0,04;58;0,22
270;2,66;0,18;0,04;53;0,22
271;2,51;0,2;0,04;55;0,24
272;2,56;0,18;0,04;58;0,22
273;2,35;0,18;0,04;58;0,22
274;2,05;0,24;0,04;57;0,28
275;3,02;0,2;0,04;52;0,24
276;3,58;0,18;0,04;53;0,22
277;3,48;0,2;0,04;56;0,24
278;2,66;0,22;0,04;52;0,26
279;2,92;0,2;0,04;55;0,24
280;2,61;0,18;0,04;53;0,22
281;2,46;0,18;0,04;56;0,22
282;2,1;0,2;0,04;56;0,24
283;2,35;0,18;0,04;52;0,22
284;2,2;0,22;0,04;56;0,26
285;2,25;0,18;0,04;54;0,22
286;2,2;0,16;0,04;48;0,2
287;2,15;0,16;0,04;48;0,2
288;2,3;0,16;0,04;40;0,2
289;2,25;0,16;0,04;46;0,2
290;2,25;0,18;0,04;52;0,22
291;2,3;0,18;0,04;47;0,22
292;2,3;0,16;0,04;50;0,2
293;2,41;18;0,04;45;18,04
294;2,46;0,16;0,04;52;0,2
295;2,56;0,18;0,04;50;0,22
296;2,66;0,18;0,04;55;0,22
297;2,82;0,16;0,04;50;0,2
298;2,72;0,18;0,04;54;0,22
299;2,61;0,18;0,04;50;0,22
300;2,61;0,18;0,04;54;0,22
301;2,35;0,18;0,04;42;0,22
302;2,35;0,18;0,04;42;0,22
303;2,4;0,18;0,04;48;0,22
304;2,66;0,2;0,04;42;0,24
305;2,75;0,18;0,04;43;0,22
306;2,71;0,18;0,04;47;0,22
307;2,66;0,2;0,04;49;0,24
308;2,76;0,2;0,04;37;0,24
309;2,66;0,18;0,04;38;0,22
310;2,66;0,22;0,04;44;0,26
311;2,71;0,18;0,04;48;0,22
312;2,61;2,2;0,04;42;2,24
313;2,66;0,3;0,04;46;0,34
314;2,76;0,3;0,04;42;0,34
315;2,76;0,3;0,04;46;0,34
316;2,66;0,26;0,04;42;0,3
317;2,66;0,24;0,04;48;0,28
318;2,66;0,24;0,04;44;0,28
319;2,76;0,22;0,04;47;0,26
320;2,71;0,22;0,04;42;0,26
321;2,66;0,24;0,04;46;0,28
322;2,56;0,18;0,04;37;0,22
323;2,51;0,22;0,04;37;0,26
324;2,66;0,28;0,04;40;0,32
325;2,66;0,22;0,04;42;0,26
326;276;20;4;34;24
327;2,66;0,22;0,04;36;0,26
328;2,66;0,22;0,04;40;0,26
329;2,71;0,2;0,04;36;0,24
330;2,76;0,24;0,04;42;0,28
331;2,82;0,26;0,04;38;0,3
332;2,66;0,24;0,04;42;0,28
333;2,71;0,24;0,04;38;0,28
334;2,66;0,24;0,04;44;0,28
335;2,66;0,22;0,04;45;0,26
336;2,66;0,22;0,04;45;0,26
337;2,76;0,28;0,04;42;0,32
338;2,81;0,2;0,04;39;0,24
339;2,82;0,26;0,04;38;0,3
340;2,76;0,28;0,04;42;0,32
341;2,71;0,24;0,04;38;0,28
342;2,66;0,22;0,04;42;0,26
343;2,71;0,2;0,04;40;0,24
344;2,61;0,22;0,04;42;0,26
345;2,46;0,18;0,04;40;0,22
346;2,46;0,2;0,04;44;0,24
347;2,46;0,22;0,04;38;0,26
348;2,46;0,2;0,04;32;0,24
349;2,46;0,2;0,04;32;0,24
350;2,46;0,22;0,04;32;0,26
351;2,51;0,22;0,04;32;0,26
352;2,56;0,2;0,04;34;0,24
353;2,51;0,22;0,04;34;0,26
354;2,56;0,2;0,04;32;0,24
355;2,56;0,22;0,04;34;0,26
356;2,51;0,22;0,04;32;0,26
357;2,51;0,2;0,04;32;0,24
358;2,51;0,18;0,04;32;0,22
359;2,56;0,2;0,04;31;0,24
360;2,51;0,24;0,04;30;0,28
361;2,56;0,22;0,04;30;0,26
362;2,56;0,18;0,035;33;0,215
363;2,56;0,18;0,035;33;0,215
364;2,56;0,32;0,04;32;0,36
365;2,56;0,22;0,035;30;0,255
366;2,56;0,3;0,035;30;0,335
367;2,61;0,18;0,035;30;0,215
368;2,61;0,22;0,035;30;0,255
369;2,61;0,22;0,035;30;0,255
370;2,61;0,2;0,035;30;0,235
371;2,61;0,2;0,035;30;0,235
372;2,61;0,2;0,035;30;0,235
373;2,61;0,22;0,035;32;0,255
374;2,61;0,18;0,04;30;0,22
375;2,61;0,2;0,04;30;0,24
376;2,61;0,2;0,04;32;0,24
377;2,66;0,32;0,04;32;0,36
378;2,66;0,18;0,035;30;0,215
379;2,3;0,17;0,04;32;0,21
380;2;0,16;0,04;36;0,2
381;1,89;0,14;0,035;38;0,175
382;1,89;0,16;0,035;46;0,195
383;2,05;0,16;0,035;46;0,195
384;2,05;0,14;0,035;48;0,175
385;1,84;0,16;0,04;48;0,2
386;1,84;0,14;0,04;48;0,18
387;1,84;0,14;0,04;50;0,18
388;1,69;0,14;0,04;44;0,18
389;1,74;0,18;0,04;43;0,22
390;2,66;0,26;0,04;42;0,3
391;2,25;0,16;0,04;48;0,2
392;2,25;0,16;0,04;48;0,2
393;2,15;0,2;0,04;51;0,24
394;1,69;0,18;0,04;45;0,22
395;1,69;0,14;0,035;35;0,175
396;1,64;0,12;0,035;34;0,155
397;1,54;0,18;0,04;30;0,22
398;2,25;0,2;0,04;30;0,24
399;2,15;0,18;0,04;36;0,22
400;2,25;0,18;0,04;40;0,22
401;2,25;0,18;0,04;43;0,22
402;2,35;0,2;0,04;45;0,24
403;2,56;0,18;0,04;46;0,22
404;2,46;0,2;0,04;48;0,24
405;2,51;0,2;0,04;42;0,24
406;2,35;0,18;0,04;46;0,22
407;2,46;0,18;0,04;43;0,22
408;2,46;0,24;0,04;46;0,28
409;2,56;0,22;0,04;42;0,26
410;2,46;0,22;0,04;46;0,26
411;2,3;0,2;0,04;45;0,24
412;2,71;0,28;0,035;43;0,315
413;2,56;0,3;0,035;46;0,335
414;2,61;0,24;0,04;44;0,28
415;2,71;0,3;0,04;46;0,34
416;2,92;0,24;0,04;47;0,28
417;2,82;0,24;0,04;50;0,28
418;3,17;0,32;0,04;50;0,36
419;2,92;0,28;0,04;46;0,32
420;2,87;0,24;0,04;46;0,28
421;2,92;0,26;0,04;51;0,3
422;2,92;0,33;0,04;43;0,37
423;2,97;0,24;0,04;43;0,28
424;2,97;0,26;0,04;47;0,3
425;3,07;0,3;0,04;45;0,34
426;2,92;0,26;0,04;51;0,3
427;2,66;0,22;0,04;49;0,26
428;2,61;0,2;0,04;50;0,24
429;2,66;0,26;0,04;49;0,3
430;2,82;0,2;0,03;52;0,23
431;2,82;0,2;0,03;52;0,23
432;2,72;0,27;0,04;50;0,31
433;2,46;0,24;0,04;44;0,28
434;2,35;0,2;0,04;50;0,24
435;2,2;0,22;0,04;50;0,26
436;2,2;0,2;0,04;52;0,24
437;2,1;20;0,04;52;20,04
438;2,05;0,18;0,04;52;0,22
439;2,15;0,24;0,03;47;0,27
440;2,05;0,24;0,04;46;0,28
441;1,94;0,24;0,04;42;0,28
442;1,94;0,26;0,04;41;0,3
443;1,89;0,2;0,04;41;0,24
444;2,66;0,2;0,04;47;0,24
445;3,43;0,44;0,04;48;0,48
446;2,87;0,26;0,04;45;0,3
447;2,87;0,24;0,04;44;0,28
448;2,71;0,24;0,04;47;0,28
449;2,71;0,22;0,04;49;0,26
450;2,56;0,26;0,04;50;0,3
451;2,41;0,26;0,04;46;0,3
452;2,2;0,22;0,04;46;0,26
453;2,15;0,2;0,04;48;0,24
454;2,15;0,2;0,04;48;0,24
455;2,05;0,16;0,04;45;0,2
456;2,66;0,18;0,04;44;0,22
457;2,97;0,2;0,04;55;0,24
458;2,56;0,2;0,04;70;0,24
459;2,16;0,18;0,04;37;0,22
460;1,69;0,14;0,03;60;0,17
461;2,05;0,26;0,03;58;0,29
462;2,15;0,22;0,03;57;0,25
463;2,05;0,2;0,03;60;0,23
464;1,64;0,16;0,02;48;0,18
465;1,64;0,16;0,02;50;0,18
466;1,64;0,14;0,02;54;0,16
467;1,59;16;0,02;50;16,02
468;1,59;0,16;0,02;50;0,18
469;1,64;0,16;0,04;53;0,2
470;1,64;0,14;0,02;55;0,16
471;1,69;0,14;0,02;58;0,16
472;2,15;0,16;0,02;55;0,18
473;1,64;0,16;0,02;55;0,18
474;1,64;0,14;0,02;55;0,16
475;1,74;0,14;0,02;54;0,16
476;1,64;0,2;0,02;58;0,22
477;1,74;0,18;0,02;55;0,2
478;1,64;0,18;0,02;49;0,2
479;1,59;0,16;0,02;48;0,18
480;1,28;0,14;0,02;37;0,16
481;1,54;0,18;0,03;32;0,21
482;1,74;0,16;0,02;36;0,18
483;1,74;0,16;0,02;44;0,18
484;1,69;0,16;0,02;48;0,18
485;1,59;0,14;0,02;48;0,16
486;1,48;0,14;0,02;50;0,16
487;1,38;0,16;0,02;35;0,18
488;1,33;0,14;0,02;42;0,16
489;1,43;0,16;0,02;55;0,18
490;1,48;0,14;0,02;55;0,16
491;1,54;0,14;0,02;50;0,16
492;1,84;0,16;0,03;40;0,19
493;1,74;0,14;0,03;43;0,17
494;1,74;0,16;0,02;48;0,18
495;1,79;0,18;0,02;48;0,2
496;1,74;0,14;0,02;50;0,16
497;1,74;0,14;0,02;50;0,16
498;1,74;0,16;0,03;39;0,19
499;1,84;0,16;0,03;42;0,19
500;1,84;0,16;0,02;40;0,18
501;1,79;0,14;0,02;44;0,16
502;1,74;0,18;0,02;46;0,2
503;1,79;0,18;0,02;50;0,2
504;1,74;0,18;0,02;49;0,2
505;1,74;0,18;0,02;49;0,2
506;1,64;0,16;0,02;52;0,18
507;1,56;0,18;0,02;48;0,2
508;1,74;0,16;0,02;45;0,18
509;1,79;0,16;0,02;48;0,18
510;1,79;0,14;0,02;52;0,16
511;1,79;0,18;0,02;49;0,2
512;1,74;0,18;0,02;52;0,2
513;1,69;0,3;0,02;42;0,32
514;1,79;0,18;0,03;37;0,21
515;1,74;0,18;0,03;50;0,21
516;1,74;0,16;0,03;57;0,19
517;1,69;0,16;0,03;40;0,19
518;1,74;0,18;0,03;69;0,21
519;1,69;0,14;0,03;50;0,17
520;1,48;0,16;0,02;48;0,18
521;1,48;0,16;0,02;48;0,18
522;1,54;0,16;0,02;34;0,18
523;1,54;0,18;0,02;33;0,2
524;1,48;0,16;0,02;42;0,18
525;1,48;0,16;0,02;42;0,18
526;1,48;0,22;0,03;43;0,25
527;148;0,18;0,03;43;0,21
528;1,43;0,16;0,03;40;0,19
529;1,48;0,16;0,03;42;0,19
530;1,54;0,16;0,03;45;0,19
531;1,64;0,14;0,03;48;0,17
532;1,59;0,16;0,03;56;0,19
533;1,79;0,16;0,03;56;0,19
534;1,79;0,16;0,03;51;0,19
535;1,94;0,16;0,03;55;0,19
536;1,94;0,14;0,03;46;0,17
537;2;0,16;0,03;56;0,19
538;2,05;0,14;0,03;58;0,17
539;2,41;0,16;0,03;46;0,19
540;2,05;0,16;0,03;33;0,19
541;2,05;0,16;0,03;32;0,19
542;2,05;0,16;0,03;32;0,19
543;2,15;0,18;0,03;34;0,21
544;2,56;0,2;0,03;34;0,23
545;2,92;0,24;0,03;42;0,27
546;3,07;0,2;0,03;47;0,23
547;2,91;0,2;0,04;51;0,24
548;2,46;0,2;0,04;52;0,24
549;3,07;0,2;0,04;54;0,24
550;3,12;0,2;0,04;50;0,24
551;2,92;0,18;0,04;47;0,22
552;2,92;0,2;0,04;50;0,24
553;2,61;0,2;0,03;50;0,23
554;2,41;0,18;0,03;50;0,21
555;2,61;0,2;0,03;50;0,23
556;2,71;0,18;0,03;37;0,21
557;2,71;0,2;0,03;40;0,23
558;2,46;0,22;0,03;42;0,25
564;;23;12;;35
